,ncalls,tottime,percall,cumtime,percall2,filename:lineno(function)
0,1,0.0,0.0,0.0,0.0, {built-in method builtins.iter}
1,1,0.0,0.0,0.0,0.0, argparse.py:2468(<listcomp>)
2,1,0.0,0.0,0.0,0.0, __init__.py:96(<lambda>)
3,1,0.0,0.0,0.0,0.0, {method 'groups' of 're.Match' objects}
4,1,0.0,0.0,0.0,0.0, {method 'write' of '_io.TextIOWrapper' objects}
5,1,0.0,0.0,0.0,0.0, argparse.py:134(_get_args)
6,1,0.0,0.0,0.0,0.0, context.py:213(_check_available)
7,2,0.0,0.0,0.0,0.0, selectors.py:200(__enter__)
8,2,0.0,0.0,0.0,0.0, {built-in method _stat.S_ISDIR}
9,1,0.0,0.0,0.0,0.0, {built-in method _imp.exec_dynamic}
10,3,0.0,0.0,0.0,0.0, spawn.py:45(get_executable)
11,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:841(create_module)
12,4,0.0,0.0,0.0,0.0, connection.py:168(writable)
13,1,0.0,0.0,0.0,0.0, argparse.py:1295(__init__)
14,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1031(get_filename)
15,1,0.0,0.0,0.0,0.0, argparse.py:958(__call__)
16,2,0.0,0.0,0.0,0.0, process.py:205(daemon)
17,1,0.0,0.0,0.0,0.0, {method 'values' of 'dict' objects}
18,4,0.0,0.0,0.0,0.0, process.py:37(current_process)
19,4,0.0,0.0,0.0,0.0, sre_parse.py:163(__delitem__)
20,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:406(has_location)
21,1,0.0,0.0,0.0,0.0, argparse.py:2177(<listcomp>)
22,2,0.0,0.0,0.0,0.0, process.py:213(authkey)
23,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:26(Popen)
24,1,0.0,0.0,0.0,0.0, {built-in method _imp.is_builtin}
25,1,0.0,0.0,0.0,0.0, {built-in method builtins.locals}
26,1,0.0,0.0,0.0,0.0, {method 'disable' of '_lsprof.Profiler' objects}
27,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:175(_path_isabs)
28,4,0.0,0.0,0.0,0.0, {built-in method time.perf_counter_ns}
29,4,0.0,0.0,0.0,0.0, connection.py:139(_check_closed)
30,4,0.0,0.0,0.0,0.0, {built-in method builtins.id}
31,10,0.0,0.0,0.0,0.0, {built-in method builtins.ord}
32,3,0.0,0.0,0.0,0.0, {method 'index' of 'str' objects}
33,7,0.0,0.0,0.0,0.0, storage.py:13(__init__)
34,7,0.0,0.0,0.0,0.0, argparse.py:613(<listcomp>)
35,2,0.0,0.0,0.0,0.0, {method '_weak_ref' of 'torch._C.HalfStorageBase' objects}
36,2,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C.HalfStorageBase' objects}
37,5,0.0,0.0,0.0,0.0, {method 'get' of 'mappingproxy' objects}
38,4,0.0,0.0,0.0,0.0, connection.py:163(readable)
39,6,0.0,0.0,0.0,0.0, util.py:44(sub_debug)
40,2,0.0,0.0,0.0,0.0, argparse.py:579(<listcomp>)
41,8,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:68(_relax_case)
42,4,0.0,0.0,0.0,0.0, {method 'decode' of 'bytes' objects}
43,1,0.0,0.0,0.0,0.0, codecs.py:186(__init__)
44,1,0.0,0.0,0.0,0.0, argparse.py:1817(<listcomp>)
45,2,0.0,0.0,0.0,0.0, {method 'index' of 'list' objects}
46,4,0.0,0.0,0.0,0.0, {method 'find' of 'bytearray' objects}
47,2,0.0,0.0,0.0,0.0, {built-in method torch._C._cuda_getDeviceCount}
48,15,0.0,0.0,0.0,0.0, {method 'isalnum' of 'str' objects}
49,10,0.0,0.0,0.0,0.0, sre_compile.py:477(_get_iscased)
50,7,0.0,0.0,0.0,0.0, {method 'clear' of 'list' objects}
51,12,0.0,0.0,0.0,0.0, {method 'items' of 'dict' objects}
52,7,0.0,0.0,0.0,0.0, serialization.py:205(__exit__)
53,2,0.0,0.0,0.0,0.0, {method 'clear' of 'dict' objects}
54,10,0.0,0.0,0.0,0.0, {built-in method _thread.get_ident}
55,1,0.0,0.0,0.0,0.0, argparse.py:2173(<listcomp>)
56,12,0.0,0.0,0.0,0.0, {method 'group' of 're.Match' objects}
57,9,0.0,0.0,0.0,0.0, sre_parse.py:169(__setitem__)
58,1,0.0,0.0,0.0,0.0, resource_tracker.py:46(ResourceTracker)
59,4,0.0,0.0,0.0,0.0, util.py:48(debug)
60,5,0.0,0.0,0.0,0.0, {built-in method _imp.is_frozen}
61,1,0.0,0.0,0.0,0.0, popen_spawn_posix.py:16(_DupFd)
62,2,0.0,0.0,0.0,0.0, utils.py:280(__init__)
63,1,0.0,0.0,0.0,0.0, resource_tracker.py:48(__init__)
64,14,0.0,0.0,0.0,0.0, {method 'lower' of 'str' objects}
65,12,0.0,0.0,0.0,0.0, {method '_weak_ref' of 'torch._C.LongStorageBase' objects}
66,2,0.0,0.0,0.0,0.0, {built-in method posix.waitstatus_to_exitcode}
67,13,0.0,0.0,0.0,0.0, argparse.py:2501(_check_value)
68,7,0.0,0.0,0.0,0.0, sre_compile.py:81(_combine_flags)
69,9,0.0,0.0,0.0,0.0, {method 'keys' of 'dict' objects}
70,4,0.0,0.0,0.0,0.0, {method 'discard' of 'set' objects}
71,2,0.0,0.0,0.0,0.0, {method 'copy' of 'list' objects}
72,1,0.0,0.0,0.0,0.0, argparse.py:1816(_get_positional_actions)
73,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1155(__init__)
74,12,0.0,0.0,0.0,0.0, {built-in method from_bytes}
75,18,0.0,0.0,0.0,0.0, {method 'find' of 'str' objects}
76,12,0.0,0.0,0.0,0.0, {method 'size' of 'torch._C.LongStorageBase' objects}
77,23,0.0,0.0,0.0,0.0, {method 'reverse' of 'list' objects}
78,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:152(__init__)
79,14,0.0,0.0,0.0,0.0, {method 'remove' of 'list' objects}
80,4,0.0,0.0,0.0,0.0, {built-in method _imp._fix_co_filename}
81,1,0.0,0.0,0.0,0.0, main.py:69(get_model_type)
82,7,0.0,0.0,0.0,0.0, {built-in method torch._C._has_torch_function_unary}
83,4,0.0,0.0,0.0,0.0, {built-in method _weakref._remove_dead_weakref}
84,1,0.0,0.0,0.0,0.0, {built-in method posix.uname}
85,7,0.0,0.0,0.0,0.0, {built-in method _free_weak_ref}
86,2,0.0,0.0,0.0,0.0, selectors.py:276(_key_from_fd)
87,4,0.0,0.0,0.0,0.0, __init__.py:464(__getnewargs__)
88,6,0.0,0.0,0.0,0.0, spawn.py:87(<genexpr>)
89,1,0.0,0.0,0.0,0.0, {built-in method _locale.nl_langinfo}
90,2,0.0,0.0,0.0,0.0, sre_compile.py:456(_generate_overlap_table)
91,14,0.0,0.0,0.0,0.0, {method 'storage_offset' of 'torch._C._TensorBase' objects}
92,3,0.0,0.0,0.0,0.0, selectors.py:21(_fileobj_to_fd)
93,32,0.0,0.0,0.0,0.0, {method 'bit_length' of 'int' objects}
94,1,0.0,0.0,0.0,0.0, popen_fork.py:12(Popen)
95,12,0.0,0.0,0.0,0.0, {method 'split' of 'str' objects}
96,2,0.0,0.0,0.0,0.0, argparse.py:1517(_get_positional_kwargs)
97,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:736(find_spec)
98,2,0.0,0.0,0.0,0.0, {method 'write' of '_io.BufferedWriter' objects}
99,6,0.0,0.0,0.0,0.0, {built-in method _sre.compile}
100,1,0.0,0.0,0.0,0.0, __init__.py:74(is_available)
101,2,0.0,0.0,0.0,0.0, context.py:249(get_start_method)
102,2,0.0,0.0,0.0,0.0, utils.py:284(__enter__)
103,30,0.0,0.0,0.0,0.0, {built-in method _imp.release_lock}
104,3,0.0,0.0,0.0,0.0, sre_compile.py:516(_get_charset_prefix)
105,1,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1179(exec_module)
106,32,0.0,0.0,0.0,0.0, {method 'add' of 'set' objects}
107,3,0.0,0.0,0.0,0.0, {method 'register' of 'select.poll' objects}
108,43,0.0,0.0,0.0,0.0, {method 'setdefault' of 'dict' objects}
109,4,0.0,0.0,0.0,0.0, context.py:197(get_start_method)
110,1,0.0,0.0,0.0,0.0, posixpath.py:140(basename)
111,4,0.0,0.0,0.0,0.0, connection.py:173(fileno)
112,2,0.0,0.0,0.0,0.0, connection.py:938(<listcomp>)
113,2,0.0,0.0,0.0,0.0, selectors.py:64(__init__)
114,2,0.0,0.0,0.0,0.0, utils.py:289(stop)
115,1,0.0,0.0,0.0,0.0, argparse.py:1086(__init__)
116,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:35(_new_module)
117,7,0.0,0.0,0.0,0.0, {method 'seek' of '_io.BufferedReader' objects}
118,7,0.0,0.0,0.0,0.0, context.py:187(get_context)
119,14,0.0,0.0,0.0,0.0, serialization.py:202(__enter__)
120,6,0.0,0.0,0.0,0.0, sre_parse.py:76(__init__)
121,6,0.0,0.0,0.0,0.0, context.py:357(assert_spawning)
122,2,0.0,0.0,0.0,0.0, process.py:247(sentinel)
123,8,0.0,0.0,0.0,0.0, process.py:99(_check_closed)
124,11,0.0,0.0,0.0,0.0, {method 'extend' of 'list' objects}
125,7,0.0,0.0,0.0,0.0, serialization.py:815(_get_restore_location)
126,2,0.0,0.0,0.0,0.0, _weakrefset.py:39(_remove)
127,4,0.0,0.0,0.0,0.0, os.py:758(decode)
128,3,0.0,0.0,0.0,0.0, subprocess.py:272(_optim_args_from_interpreter_flags)
129,2,0.0,0.0,0.0,0.0, {built-in method posix.putenv}
130,1,0.0,0.0,0.0,0.0, __init__.py:451(device_count)
131,2,0.0,0.0,0.0,0.0, {method 'getbuffer' of '_io.BytesIO' objects}
132,13,0.0,0.0,0.0,0.0, posixpath.py:41(_get_sep)
133,18,0.0,0.0,0.0,0.0, popen_spawn_posix.py:17(__init__)
134,7,0.0,0.0,0.0,0.0, serialization.py:126(_cpu_deserialize)
135,3,0.0,0.0,0.0,0.0, argparse.py:1571(_get_handler)
136,6,0.0,0.0,0.0,0.0, sre_parse.py:928(fix_flags)
137,21,0.0,0.0,0.0,0.0, __init__.py:62(get_sharing_strategy)
138,4,0.0,0.0,0.0,0.0, process.py:94(<genexpr>)
139,11,0.0,0.0,0.0,0.0, {built-in method _thread.allocate_lock}
140,13,0.0,0.0,0.0,0.0, pathlib.py:102(join_parsed_parts)
141,37,0.0,0.0,0.0,0.0, {method 'isidentifier' of 'str' objects}
142,4,0.0,0.0,0.0,0.0, synchronize.py:90(_make_methods)
143,2,0.0,0.0,0.0,0.0, {built-in method posix.getcwd}
144,4,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
145,2,0.0,0.0,0.0,0.0, spawn.py:132(_check_not_importing_main)
146,5,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap>:811(find_spec)
147,1,0.0,0.0,0.0,0.0, argparse.py:131(_get_kwargs)
148,9,0.0,0.0,0.0,0.0, <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
149,14,0.0,0.0,0.0,0.0, hooks.py:54(warn_if_has_hooks)
